,Entity_ID
750,DOID:14566
751,mir550a
752,mir200c
753,DBH-AS1
754,mir223
755,mir26
756,DOID:1749
757,mir873
758,mir361
759,DOID:4706
760,mir148b
761,DOID:824
762,DOID:9970
763,mir520f
764,DOID:655
765,DOID:3996
766,DOID:3118
767,DOID:3342
768,mir137
769,DOID:8649
770,mir30c
771,HYMAI
772,mir561
773,DOID:10976
774,DOID:11432
775,DOID:3856
776,DOID:3953
777,MIAT
778,mir1915
779,DOID:2994
780,SNHG1
781,mir3148
782,DOID:1787
783,let7g
784,mir375
785,mir1224
786,mir1290
787,DOID:0060116
788,DOID:13089
789,DOID:4905
790,mir134
791,mir320e
792,DOID:0050902
793,DOID:4362
794,DOID:3748
795,PCAT5
796,mir1228
797,mir197
798,mir539
799,mir371a
800,mir501
801,DOID:26
802,mir1285
803,mir1299
804,DOID:1307
805,mir486
806,mir216b
807,mir1231
808,mir615
809,PISRT1
810,DOID:4535
811,DOID:3527
812,LINC01387
813,DOID:1921
814,mir1254
815,DOID:3312
816,mir661
817,HOTTIP
818,mir122
819,mir519b
820,mir570
821,DOID:535
822,mir520a
823,mir1249
824,LINC00963
825,DOID:4001
826,LINC00271
827,DOID:154
828,DOID:12365
829,DOID:1192
830,DOID:5183
831,mir944
832,mir513a
833,PARD6G-AS1
834,DOID:363
835,DOID:768
836,LINC00602
837,mir642a
838,DOID:2914
839,mir507
840,mir92a
841,DOID:12336
842,mir492
843,DOID:2348
844,DOID:8923
845,mir224
846,CCAT1
847,CDR1-AS
848,mir365b
849,DOID:15
850,DOID:0050890
851,DOID:2152
852,mir590
853,NPTN-IT1
854,DOID:4226
855,mir106b
856,mir142
857,mir29a
858,mir30e
859,PCA3
860,mir378b
861,TRERNA1
862,PCAT1
863,mir1909
864,HCG9
865,mir1181
866,mir4257
867,DOID:1324
868,DOID:5158
869,DOID:707
870,mir1271
871,mir146a
872,PSORS1C3
873,HOTAIRM1
874,DOID:2789
875,PWAR4
876,DOID:4851
877,mir526b
878,mir624
879,mir301a
880,LINC00629
881,mir133a
882,LINC00032
883,DOID:520
884,MEG8
885,LINC00663
886,HCCAT5
887,mir495
888,mir638
889,IFNG-AS1
890,mir31
891,mir513c
892,mir1323
893,GACAT2
894,SAMMSON
895,DSCR9
896,DOID:0080053
897,mir199b
898,LINC01098
899,mir629
900,mir185
901,DOID:10534
902,DOID:75
903,DOID:8997
904,BANCR
905,GABPB1-AS1
906,mir323b
907,mir21
908,DOID:0060041
909,mir518a
910,LINC01556
911,DOID:10591
912,DOID:77
913,LINC00675
914,mir335
915,mir622
916,mir183
917,mir23b
918,PRNCR1
919,mir378e
920,GSTT1-AS1
921,DOID:3620
922,mir221
923,mir195
924,DOID:0050687
925,mir371
926,DOID:4
927,DOID:4043
928,DOID:9261
929,DOID:2154
930,mir449a
931,DOID:848
932,mir190b
933,mir373
934,mir664
935,mir1302
936,mir1245a
937,mir194
938,DOID:865
939,DOID:5041
940,mir521
941,mir577
942,DOID:3717
943,DOID:706
944,mir885
945,DOID:14654
946,mir449b
947,mir505
948,DOID:299
949,let7b
950,mir610
951,mir210
952,DOID:66
953,DOID:12603
954,DOID:114
955,LINCMD1
956,MIR194-2HG
957,DOID:0060464
958,mir135a
959,mir517c
960,mir92b
961,mir593
962,NBAT1
963,mir1183
964,mir520b
965,DOID:9974
966,TP73-AS1
967,MESTIT1
968,mir9
969,DOID:2033
970,DOID:0060289
971,DOID:2349
972,DOID:10941
973,mir450b
974,mir154
975,mir489
976,DOID:2559
977,mir617
978,mir512
979,mir520c
980,mir545
981,DOID:4845
982,mir760
983,mir602
984,mir132
985,DOID:2513
986,mir499a
987,mir608
988,DOID:8536
989,DOID:10348
990,mir198
991,DOID:2621
992,DOID:1398
993,DOID:2043
994,mir218
995,C5orf66-AS2
996,DOID:14250
997,mir23a
998,mir625
999,mir637
1000,mir1471
1001,mir330
1002,mir422a
1003,mir612
1004,mir655
1005,mir516b
1006,mir143
1007,DOID:229
1008,mir1245b
1009,DOID:3388
1010,mir711
1011,PCGEM1
1012,DOID:9952
1013,DOID:263
1014,DOID:8692
1015,mir630
1016,mir208a
1017,DOID:3119
1018,ATE1-AS1
1019,AFAP1-AS1
1020,DOID:11612
1021,DOID:2127
1022,DOID:9538
1023,DOID:4184
1024,mir376a
1025,LINC00467
1026,DOID:4006
1027,DOID:0050739
1028,HOXA11-AS
1029,mir516a
1030,mir302f
1031,mir203
1032,DOID:898
1033,mir378f
1034,mir149
1035,DOID:2871
1036,DOID:0060260
1037,mir181
1038,mir338
1039,ZEB1-AS1
1040,EPB41L4A-AS1
1041,HCG4
1042,mir296
1043,ERICH1-AS1
1044,CCDC26
1045,mir17
1046,GATA3-AS1
1047,DOID:0050567
1048,mir1273c
1049,DOID:10155
1050,LINC01024
1051,DOID:3627
1052,DOID:170
1053,TUG1
1054,mir95
1055,mir1227
1056,DOID:4195
1057,mir18b
1058,MIR124-2HG
1059,mir377
1060,mir378c
1061,mir510
1062,LINC00974
1063,KCTD21-AS1
1064,mir519c
1065,mir598
1066,mir411
1067,DOID:74
1068,mir421
1069,TUSC8
1070,DOID:1229
1071,DOID:1432
1072,mir339
